Info 66   [18:3:3.354] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 67   [18:3:3.368] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 16 structureChanged: false Elapsed: 14ms
Info 68   [18:3:3.368] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 69   [18:3:3.442] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 70   [18:3:3.454] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 17 structureChanged: false Elapsed: 12ms
Info 71   [18:3:3.455] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 72   [18:3:3.560] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 73   [18:3:3.576] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 18 structureChanged: false Elapsed: 16ms
Info 74   [18:3:3.576] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 75   [18:3:7.422] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 76   [18:3:7.433] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 19 structureChanged: false Elapsed: 11ms
Info 77   [18:3:7.433] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 78   [18:3:7.786] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 79   [18:3:7.813] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 20 structureChanged: false Elapsed: 27ms
Info 80   [18:3:7.813] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 81   [18:3:8.132] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 82   [18:3:8.163] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 21 structureChanged: false Elapsed: 31ms
Info 83   [18:3:8.163] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 84   [18:3:9.103] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 85   [18:3:9.124] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 22 structureChanged: false Elapsed: 21ms
Info 86   [18:3:9.125] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 87   [18:3:9.234] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
